Author      , \varepsilon , Pr      , \Gamma      ,domain , SDC?  , Remarks
Hu93        , 0.1         , 0.96    , 43          , c     , No    , Unsteady rolls but no SDC
Morris93    , 0.465       , 1       , 78          , c     , Yes   , First SDC study 
decker94    , 0.65        , 1       , 25          , sq    , Yes   , SDC depends on \Gamma
decker94    , 0.45        , 1       , 100         , sq    , Yes   , SDC depends on \Gamma 
Ecke95      , 1           , 0.98    , 52          , c     , Yes   , SDC exists for -4 < \Omega < 4 
Hu95b       , 0.8         , 0.98    , 40          , c     , Yes   , Intermittent spirals-defect at \varepsilon \approx 0.55 
Hu95a       , 0.8         , 0.98    , 40          , c     , Yes   , Statistics of SDC grows at \varepsilon \gtrapprox 0.55. 
Xi95        , 0.7         , 1       , 32          , sq    , Yes   , Swift-Hohenberg model 
Liu96       , 0.6         , 0.9     , 70          , c     , Yes   , \makecell{\varepsilon_s increases with increasing Pr.\\ Spiral counting method} 
Morris96    , 0.5         , 1       , 75          , c     , Yes   , Fully developed at \varepsilon = 0.5 
Bajaj97     , 1.6         , 4       , 45          , c     , No    , SDC appears stablise to ISRs 
Cakmur97a   , 0.92        , 1       , 50          , sq    , Yes   , Bistability between SDC and ISRs 
Cakmur97b   , 0.53        , 1       , 50          , sq    , Int   , ISRs and SDC coexist over 20t_h 
Egolf98     , 0.805       , 1       , 50          , sq    , Yes   , Two apparent length scales 
Schmitz02   , 0.7         , 1       , 32          , sq    , Yes   , Long transient SDC from S-H equations
Karimi11    , 0.7         , 1       , 64          , sq    , Yes   , Different SH model parameters 
Vitral20    , 0.7         , 1       , 50          , sq    , Yes   , \makecell{Matching spiral properties \\ between RB and SH models} 
